model,fpr,tpr
元学习全候选,0.0,0.0
元学习全候选,0.0,0.012345679012345678
元学习全候选,0.0,0.07407407407407407
元学习全候选,0.00016849199663016007,0.07407407407407407
元学习全候选,0.00016849199663016007,0.12345679012345678
元学习全候选,0.0005054759898904802,0.12345679012345678
元学习全候选,0.0005054759898904802,0.13580246913580246
元学习全候选,0.0006739679865206403,0.13580246913580246
元学习全候选,0.0006739679865206403,0.20987654320987653
元学习全候选,0.0008424599831508003,0.20987654320987653
元学习全候选,0.0008424599831508003,0.2222222222222222
元学习全候选,0.0010109519797809603,0.2222222222222222
元学习全候选,0.0010109519797809603,0.30864197530864196
元学习全候选,0.0018534119629317607,0.30864197530864196
元学习全候选,0.0018534119629317607,0.32098765432098764
元学习全候选,0.002527379949452401,0.32098765432098764
元学习全候选,0.002527379949452401,0.345679012345679
元学习全候选,0.0030328559393428814,0.345679012345679
元学习全候选,0.0030328559393428814,0.35802469135802467
元学习全候选,0.0037068239258635214,0.35802469135802467
元学习全候选,0.0037068239258635214,0.37037037037037035
元学习全候选,0.004043807919123841,0.37037037037037035
元学习全候选,0.004043807919123841,0.4691358024691358
元学习全候选,0.004212299915754001,0.4691358024691358
元学习全候选,0.004212299915754001,0.5061728395061729
元学习全候选,0.005054759898904802,0.5061728395061729
元学习全候选,0.005054759898904802,0.5432098765432098
元学习全候选,0.005223251895534962,0.5432098765432098
元学习全候选,0.005223251895534962,0.5555555555555556
元学习全候选,0.005391743892165122,0.5555555555555556
元学习全候选,0.005391743892165122,0.6049382716049383
元学习全候选,0.005560235888795282,0.6049382716049383
元学习全候选,0.005560235888795282,0.6296296296296297
元学习全候选,0.006065711878685763,0.6296296296296297
元学习全候选,0.006065711878685763,0.6419753086419753
元学习全候选,0.006234203875315923,0.6419753086419753
元学习全候选,0.006234203875315923,0.654320987654321
元学习全候选,0.007413647851727043,0.654320987654321
元学习全候选,0.007413647851727043,0.6790123456790124
元学习全候选,0.008424599831508003,0.6790123456790124
元学习全候选,0.008424599831508003,0.7037037037037037
元学习全候选,0.009098567818028643,0.7037037037037037
元学习全候选,0.009098567818028643,0.7160493827160493
元学习全候选,0.009435551811288963,0.7160493827160493
元学习全候选,0.009435551811288963,0.7407407407407407
元学习全候选,0.009772535804549284,0.7407407407407407
元学习全候选,0.009772535804549284,0.7777777777777778
元学习全候选,0.010614995787700084,0.7777777777777778
元学习全候选,0.010614995787700084,0.7901234567901234
元学习全候选,0.010951979780960405,0.7901234567901234
元学习全候选,0.010951979780960405,0.8024691358024691
元学习全候选,0.011457455770850885,0.8024691358024691
元学习全候选,0.011457455770850885,0.8271604938271605
元学习全候选,0.012636899747262006,0.8271604938271605
元学习全候选,0.012636899747262006,0.8888888888888888
元学习全候选,0.013647851727042965,0.8888888888888888
元学习全候选,0.013647851727042965,0.9012345679012346
元学习全候选,0.013816343723673125,0.9012345679012346
元学习全候选,0.013816343723673125,0.9135802469135802
元学习全候选,0.014490311710193765,0.9135802469135802
元学习全候选,0.014490311710193765,0.9259259259259259
元学习全候选,0.02291491154170177,0.9259259259259259
元学习全候选,0.02291491154170177,0.9382716049382716
元学习全候选,0.02948609941027801,0.9382716049382716
元学习全候选,0.02948609941027801,0.9506172839506173
元学习全候选,0.038416175231676494,0.9506172839506173
元学习全候选,0.038416175231676494,0.9629629629629629
元学习全候选,0.05543386689132266,0.9629629629629629
元学习全候选,0.05543386689132266,0.9753086419753086
元学习全候选,0.05577085088458298,0.9753086419753086
元学习全候选,0.05577085088458298,0.9876543209876543
元学习全候选,0.07750631844987363,0.9876543209876543
元学习全候选,0.07750631844987363,1.0
元学习全候选,0.45071609098567816,1.0
元学习全候选,0.4510530749789385,1.0
元学习全候选,1.0,1.0
堆叠融合,0.0,0.0
堆叠融合,0.0,0.012345679012345678
堆叠融合,0.0,0.1728395061728395
堆叠融合,0.00016849199663016007,0.1728395061728395
堆叠融合,0.00016849199663016007,0.18518518518518517
堆叠融合,0.00033698399326032014,0.18518518518518517
堆叠融合,0.00033698399326032014,0.19753086419753085
堆叠融合,0.0005054759898904802,0.19753086419753085
堆叠融合,0.0005054759898904802,0.20987654320987653
堆叠融合,0.0006739679865206403,0.20987654320987653
堆叠融合,0.0006739679865206403,0.2222222222222222
堆叠融合,0.0008424599831508003,0.2222222222222222
堆叠融合,0.0008424599831508003,0.2345679012345679
堆叠融合,0.0010109519797809603,0.2345679012345679
堆叠融合,0.0010109519797809603,0.24691358024691357
堆叠融合,0.0011794439764111204,0.24691358024691357
堆叠融合,0.0011794439764111204,0.25925925925925924
堆叠融合,0.0015164279696714407,0.25925925925925924
堆叠融合,0.0015164279696714407,0.2716049382716049
堆叠融合,0.0018534119629317607,0.2716049382716049
堆叠融合,0.0018534119629317607,0.2839506172839506
堆叠融合,0.0020219039595619206,0.2839506172839506
堆叠融合,0.0020219039595619206,0.2962962962962963
堆叠融合,0.002527379949452401,0.2962962962962963
堆叠融合,0.002527379949452401,0.345679012345679
堆叠融合,0.0032013479359730415,0.345679012345679
堆叠融合,0.0032013479359730415,0.35802469135802467
堆叠融合,0.0035383319292333613,0.35802469135802467
堆叠融合,0.0035383319292333613,0.37037037037037035
堆叠融合,0.0037068239258635214,0.37037037037037035
堆叠融合,0.0037068239258635214,0.38271604938271603
堆叠融合,0.0038753159224936815,0.38271604938271603
堆叠融合,0.0038753159224936815,0.3950617283950617
堆叠融合,0.004043807919123841,0.3950617283950617
堆叠融合,0.004043807919123841,0.4074074074074074
堆叠融合,0.005054759898904802,0.4074074074074074
堆叠融合,0.005054759898904802,0.41975308641975306
堆叠融合,0.005560235888795282,0.41975308641975306
堆叠融合,0.005560235888795282,0.4444444444444444
堆叠融合,0.006571187868576242,0.4444444444444444
堆叠融合,0.006571187868576242,0.4567901234567901
堆叠融合,0.006739679865206402,0.4567901234567901
堆叠融合,0.006739679865206402,0.4691358024691358
堆叠融合,0.007750631844987363,0.4691358024691358
堆叠融合,0.007750631844987363,0.49382716049382713
堆叠融合,0.008593091828138163,0.49382716049382713
堆叠融合,0.008593091828138163,0.5061728395061729
堆叠融合,0.009267059814658803,0.5061728395061729
堆叠融合,0.009267059814658803,0.5308641975308642
堆叠融合,0.009941027801179444,0.5308641975308642
堆叠融合,0.009941027801179444,0.5679012345679012
堆叠融合,0.010783487784330244,0.5679012345679012
堆叠融合,0.010783487784330244,0.5925925925925926
堆叠融合,0.011120471777590565,0.5925925925925926
堆叠融合,0.011120471777590565,0.6172839506172839
堆叠融合,0.011457455770850885,0.6172839506172839
堆叠融合,0.011457455770850885,0.6296296296296297
堆叠融合,0.017860151642796966,0.6296296296296297
堆叠融合,0.017860151642796966,0.6419753086419753
堆叠融合,0.018871103622577927,0.6419753086419753
堆叠融合,0.018871103622577927,0.654320987654321
堆叠融合,0.019882055602358888,0.654320987654321
堆叠融合,0.019882055602358888,0.6666666666666666
堆叠融合,0.02224094355518113,0.6666666666666666
堆叠融合,0.02224094355518113,0.6790123456790124
堆叠融合,0.02257792754844145,0.6790123456790124
堆叠融合,0.02257792754844145,0.691358024691358
堆叠融合,0.02476832350463353,0.691358024691358
堆叠融合,0.02476832350463353,0.7037037037037037
堆叠融合,0.02544229149115417,0.7037037037037037
堆叠融合,0.02544229149115417,0.7160493827160493
堆叠融合,0.02712721145745577,0.7160493827160493
堆叠融合,0.02712721145745577,0.7283950617283951
堆叠融合,0.02965459140690817,0.7283950617283951
堆叠融合,0.02965459140690817,0.7407407407407407
堆叠融合,0.03184498736310025,0.7407407407407407
堆叠融合,0.03184498736310025,0.7530864197530864
堆叠融合,0.03504633529907329,0.7530864197530864
堆叠融合,0.03504633529907329,0.7654320987654321
堆叠融合,0.03605728727885425,0.7654320987654321
堆叠融合,0.03605728727885425,0.7777777777777778
堆叠融合,0.03673125526537489,0.7777777777777778
堆叠融合,0.03673125526537489,0.7901234567901234
堆叠融合,0.038416175231676494,0.7901234567901234
堆叠融合,0.038416175231676494,0.8024691358024691
堆叠融合,0.05307497893850042,0.8024691358024691
堆叠融合,0.05307497893850042,0.8148148148148148
堆叠融合,0.062173546756529065,0.8148148148148148
堆叠融合,0.062173546756529065,0.8271604938271605
堆叠融合,0.06402695871946082,0.8271604938271605
堆叠融合,0.06402695871946082,0.8395061728395061
堆叠融合,0.07716933445661331,0.8395061728395061
堆叠融合,0.07716933445661331,0.8518518518518519
堆叠融合,0.08138163437236731,0.8518518518518519
堆叠融合,0.08138163437236731,0.8641975308641975
堆叠融合,0.09334456613310868,0.8641975308641975
堆叠融合,0.09334456613310868,0.8765432098765432
堆叠融合,0.09688289806234204,0.8765432098765432
堆叠融合,0.09688289806234204,0.8888888888888888
堆叠融合,0.10614995787700084,0.8888888888888888
堆叠融合,0.10614995787700084,0.9012345679012346
堆叠融合,0.11962931760741365,0.9012345679012346
堆叠融合,0.11962931760741365,0.9135802469135802
堆叠融合,0.1383319292333614,0.9135802469135802
堆叠融合,0.1383319292333614,0.9259259259259259
堆叠融合,0.1506318449873631,0.9259259259259259
堆叠融合,0.1506318449873631,0.9382716049382716
堆叠融合,0.15754001684919966,0.9382716049382716
堆叠融合,0.15754001684919966,0.9506172839506173
堆叠融合,0.1624262847514743,0.9506172839506173
堆叠融合,0.1624262847514743,0.9629629629629629
堆叠融合,0.19292333614153329,0.9629629629629629
堆叠融合,0.19292333614153329,0.9753086419753086
堆叠融合,0.26082561078348776,0.9753086419753086
堆叠融合,0.26082561078348776,0.9876543209876543
堆叠融合,0.3080033698399326,0.9876543209876543
堆叠融合,0.3080033698399326,1.0
堆叠融合,1.0,1.0
GRU 混合,0.0,0.0
GRU 混合,0.0,0.012345679012345678
GRU 混合,0.0,0.1111111111111111
GRU 混合,0.00016849199663016007,0.1111111111111111
GRU 混合,0.00016849199663016007,0.14814814814814814
GRU 混合,0.0005054759898904802,0.14814814814814814
GRU 混合,0.0005054759898904802,0.16049382716049382
GRU 混合,0.0011794439764111204,0.16049382716049382
GRU 混合,0.0011794439764111204,0.1728395061728395
GRU 混合,0.0013479359730412806,0.1728395061728395
GRU 混合,0.0013479359730412806,0.19753086419753085
GRU 混合,0.0018534119629317607,0.19753086419753085
GRU 混合,0.0018534119629317607,0.2222222222222222
GRU 混合,0.0020219039595619206,0.2222222222222222
GRU 混合,0.0020219039595619206,0.2345679012345679
GRU 混合,0.002358887952822241,0.2345679012345679
GRU 混合,0.002358887952822241,0.2839506172839506
GRU 混合,0.0030328559393428814,0.2839506172839506
GRU 混合,0.0030328559393428814,0.32098765432098764
GRU 混合,0.0032013479359730415,0.32098765432098764
GRU 混合,0.0032013479359730415,0.3333333333333333
GRU 混合,0.0038753159224936815,0.3333333333333333
GRU 混合,0.0038753159224936815,0.37037037037037035
GRU 混合,0.004043807919123841,0.37037037037037035
GRU 混合,0.004043807919123841,0.38271604938271603
GRU 混合,0.004717775905644482,0.38271604938271603
GRU 混合,0.004717775905644482,0.3950617283950617
GRU 混合,0.005223251895534962,0.3950617283950617
GRU 混合,0.005223251895534962,0.4074074074074074
GRU 混合,0.005391743892165122,0.4074074074074074
GRU 混合,0.005391743892165122,0.41975308641975306
GRU 混合,0.005560235888795282,0.41975308641975306
GRU 混合,0.005560235888795282,0.43209876543209874
GRU 混合,0.005897219882055603,0.43209876543209874
GRU 混合,0.005897219882055603,0.4691358024691358
GRU 混合,0.006065711878685763,0.4691358024691358
GRU 混合,0.006065711878685763,0.49382716049382713
GRU 混合,0.006234203875315923,0.49382716049382713
GRU 混合,0.006234203875315923,0.5061728395061729
GRU 混合,0.006571187868576242,0.5061728395061729
GRU 混合,0.006571187868576242,0.5308641975308642
GRU 混合,0.006739679865206402,0.5308641975308642
GRU 混合,0.006739679865206402,0.5432098765432098
GRU 混合,0.0069081718618365625,0.5432098765432098
GRU 混合,0.0069081718618365625,0.5555555555555556
GRU 混合,0.007076663858466723,0.5555555555555556
GRU 混合,0.007076663858466723,0.5679012345679012
GRU 混合,0.007245155855096883,0.5679012345679012
GRU 混合,0.007245155855096883,0.5802469135802469
GRU 混合,0.007919123841617522,0.5802469135802469
GRU 混合,0.007919123841617522,0.5925925925925926
GRU 混合,0.009772535804549284,0.5925925925925926
GRU 混合,0.009772535804549284,0.6049382716049383
GRU 混合,0.010783487784330244,0.6049382716049383
GRU 混合,0.010783487784330244,0.6172839506172839
GRU 混合,0.012131423757371525,0.6172839506172839
GRU 混合,0.012131423757371525,0.6296296296296297
GRU 混合,0.012468407750631846,0.6296296296296297
GRU 混合,0.012468407750631846,0.6419753086419753
GRU 混合,0.013142375737152484,0.6419753086419753
GRU 混合,0.013142375737152484,0.654320987654321
GRU 混合,0.016006739679865205,0.654320987654321
GRU 混合,0.016006739679865205,0.6666666666666666
GRU 混合,0.016680707666385845,0.6666666666666666
GRU 混合,0.016680707666385845,0.6790123456790124
GRU 混合,0.017354675652906486,0.6790123456790124
GRU 混合,0.017354675652906486,0.691358024691358
GRU 混合,0.02173546756529065,0.691358024691358
GRU 混合,0.02173546756529065,0.7160493827160493
GRU 混合,0.03167649536647009,0.7160493827160493
GRU 混合,0.03167649536647009,0.7283950617283951
GRU 混合,0.04582982308340354,0.7283950617283951
GRU 混合,0.04582982308340354,0.7407407407407407
GRU 混合,0.05054759898904802,0.7407407407407407
GRU 混合,0.05054759898904802,0.7530864197530864
GRU 混合,0.05661331086773378,0.7530864197530864
GRU 混合,0.05661331086773378,0.7654320987654321
GRU 混合,0.05829823083403538,0.7654320987654321
GRU 混合,0.05829823083403538,0.7777777777777778
GRU 混合,0.061162594776748104,0.7777777777777778
GRU 混合,0.061162594776748104,0.7901234567901234
GRU 混合,0.06823925863521482,0.7901234567901234
GRU 混合,0.06823925863521482,0.8024691358024691
GRU 混合,0.09267059814658804,0.8024691358024691
GRU 混合,0.09267059814658804,0.8148148148148148
GRU 混合,0.09486099410278012,0.8148148148148148
GRU 混合,0.09486099410278012,0.8271604938271605
GRU 混合,0.09806234203875316,0.8271604938271605
GRU 混合,0.09806234203875316,0.8395061728395061
GRU 混合,0.0987363100252738,0.8395061728395061
GRU 混合,0.0987363100252738,0.8518518518518519
GRU 混合,0.10732940185341196,0.8518518518518519
GRU 混合,0.10732940185341196,0.8641975308641975
GRU 混合,0.12973883740522324,0.8641975308641975
GRU 混合,0.12973883740522324,0.8765432098765432
GRU 混合,0.13277169334456612,0.8765432098765432
GRU 混合,0.13277169334456612,0.8888888888888888
GRU 混合,0.14540859309182813,0.8888888888888888
GRU 混合,0.14540859309182813,0.9012345679012346
GRU 混合,0.1713563605728728,0.9012345679012346
GRU 混合,0.1713563605728728,0.9135802469135802
GRU 混合,0.17152485256950295,0.9135802469135802
GRU 混合,0.17152485256950295,0.9259259259259259
GRU 混合,0.22409435551811288,0.9259259259259259
GRU 混合,0.22409435551811288,0.9382716049382716
GRU 混合,0.26133108677337824,0.9382716049382716
GRU 混合,0.26133108677337824,0.9506172839506173
GRU 混合,0.2652064026958719,0.9506172839506173
GRU 混合,0.2652064026958719,0.9629629629629629
GRU 混合,0.3058129738837405,0.9629629629629629
GRU 混合,0.3058129738837405,0.9753086419753086
GRU 混合,0.3385004212299916,0.9753086419753086
GRU 混合,0.3385004212299916,0.9876543209876543
GRU 混合,0.4035383319292334,0.9876543209876543
GRU 混合,0.4035383319292334,1.0
GRU 混合,1.0,1.0
岭回归,0.0,0.0
岭回归,0.0,0.012345679012345678
岭回归,0.0,0.024691358024691357
岭回归,0.0005054759898904802,0.024691358024691357
岭回归,0.0005054759898904802,0.06172839506172839
岭回归,0.0008424599831508003,0.06172839506172839
岭回归,0.0008424599831508003,0.08641975308641975
岭回归,0.0016849199663016006,0.08641975308641975
岭回归,0.0016849199663016006,0.1111111111111111
岭回归,0.002358887952822241,0.1111111111111111
岭回归,0.002358887952822241,0.2839506172839506
岭回归,0.002527379949452401,0.2839506172839506
岭回归,0.002527379949452401,0.30864197530864196
岭回归,0.0030328559393428814,0.30864197530864196
岭回归,0.0030328559393428814,0.32098765432098764
岭回归,0.0032013479359730415,0.32098765432098764
岭回归,0.0032013479359730415,0.3333333333333333
岭回归,0.0035383319292333613,0.3333333333333333
岭回归,0.0035383319292333613,0.38271604938271603
岭回归,0.004212299915754001,0.38271604938271603
岭回归,0.004212299915754001,0.5679012345679012
岭回归,0.005054759898904802,0.5679012345679012
岭回归,0.005054759898904802,0.5802469135802469
岭回归,0.005391743892165122,0.5802469135802469
岭回归,0.005391743892165122,0.6172839506172839
岭回归,0.006065711878685763,0.6172839506172839
岭回归,0.006065711878685763,0.6296296296296297
岭回归,0.006234203875315923,0.6296296296296297
岭回归,0.006234203875315923,0.6419753086419753
岭回归,0.006402695871946083,0.6419753086419753
岭回归,0.006402695871946083,0.6666666666666666
岭回归,0.006739679865206402,0.6666666666666666
岭回归,0.006739679865206402,0.6790123456790124
岭回归,0.0069081718618365625,0.6790123456790124
岭回归,0.0069081718618365625,0.7037037037037037
岭回归,0.007245155855096883,0.7037037037037037
岭回归,0.007245155855096883,0.7160493827160493
岭回归,0.007582139848357203,0.7160493827160493
岭回归,0.007582139848357203,0.7407407407407407
岭回归,0.007750631844987363,0.7407407407407407
岭回归,0.007750631844987363,0.7530864197530864
岭回归,0.008424599831508003,0.7530864197530864
岭回归,0.008424599831508003,0.7654320987654321
岭回归,0.009098567818028643,0.7654320987654321
岭回归,0.009098567818028643,0.8024691358024691
岭回归,0.009435551811288963,0.8024691358024691
岭回归,0.009435551811288963,0.8271604938271605
岭回归,0.010109519797809604,0.8271604938271605
岭回归,0.010109519797809604,0.8395061728395061
岭回归,0.012131423757371525,0.8395061728395061
岭回归,0.012131423757371525,0.8518518518518519
岭回归,0.019713563605728728,0.8518518518518519
岭回归,0.019713563605728728,0.8641975308641975
岭回归,0.020724515585509688,0.8641975308641975
岭回归,0.020724515585509688,0.8765432098765432
岭回归,0.02122999157540017,0.8765432098765432
岭回归,0.02122999157540017,0.8888888888888888
岭回归,0.02240943555181129,0.8888888888888888
岭回归,0.02240943555181129,0.9012345679012346
岭回归,0.02611625947767481,0.9012345679012346
岭回归,0.02611625947767481,0.9135802469135802
岭回归,0.02729570345408593,0.9135802469135802
岭回归,0.02729570345408593,0.9259259259259259
岭回归,0.05425442291491154,0.9259259259259259
岭回归,0.05425442291491154,0.9382716049382716
岭回归,0.0729570345408593,0.9382716049382716
岭回归,0.0729570345408593,0.9506172839506173
岭回归,0.2350463352990733,0.9506172839506173
岭回归,0.2350463352990733,0.9629629629629629
岭回归,0.27278854254422913,0.9629629629629629
岭回归,0.27278854254422913,0.9753086419753086
岭回归,0.33681550126369,0.9753086419753086
岭回归,0.33681550126369,1.0
岭回归,1.0,1.0
